,publish_date,headline_category,headline_text
0,20010102,unknown,Status quo will not be disturbed at Ayodhya; says Vajpayee
1,20010102,unknown,Fissures in Hurriyat over Pak visit
2,20010102,unknown,America's unwanted heading for India?
3,20010102,unknown,For bigwigs; it is destination Goa
4,20010102,unknown,Extra buses to clear tourist traffic
5,20010102,unknown,Dilute the power of transfers; says Riberio
6,20010102,unknown,Focus shifts to teaching of Hindi
7,20010102,unknown,IT will become compulsory in schools
8,20010102,unknown,Move to stop freedom fighters' pension flayed
9,20010102,unknown,Gilani claims he applied for passport 2 years ago
10,20010102,unknown,Parivar dismisses PM's warning
11,20010102,unknown,India; Pak exchange lists of N-plants
12,20010102,unknown,Will Qureshi's return really help the govt?
13,20010102,unknown,PM's tacit message: Put Ram tample on hold
14,20010102,unknown,Text of the Prime Minister's article
15,20010102,unknown,NCW to focus on violence against women
16,20010102,unknown,BBC's reality TV will focus on AIIMS
17,20010102,unknown,Jaitley firm on legal reforms
18,20010102,unknown,Hoshangabad farmers have enough water
19,20010102,unknown,BJP jumps into rail track conversion issue
20,20010102,unknown,America's unwanted heading for India?
21,20010102,unknown,State may take AP to court over Krishna
22,20010102,unknown,This official has sued the briber
23,20010102,unknown,Park turns temple compound as residents watch
24,20010102,unknown,Moves afoot to evict squatters in Urban dist
25,20010102,unknown,Mafia calls the shots in Gandhinagar too
26,20010102,unknown,Status quo will not be disturbed at Ayodhya; says Vajpayee
27,20010102,unknown,Fissures in Hurriyat over Pak visit
28,20010102,unknown,America's unwanted heading for India?
29,20010102,unknown,For bigwigs; it is destination Goa
30,20010102,unknown,Extra buses to clear tourist traffic
31,20010102,unknown,Dilute the power of transfers; says Riberio
32,20010102,unknown,Focus shifts to teaching of Hindi
33,20010102,unknown,IT will become compulsory in schools
34,20010102,unknown,Move to stop freedom fighters' pension flayed
35,20010102,unknown,Gilani claims he applied for passport 2 years ago
36,20010102,unknown,Parivar dismisses PM's warning
37,20010102,unknown,India; Pak exchange lists of N-plants
38,20010102,unknown,Will Qureshi's return really help the govt?
39,20010102,unknown,PM's tacit message: Put Ram tample on hold
40,20010102,unknown,Text of the Prime Minister's article
41,20010102,unknown,NCW to focus on violence against women
42,20010102,unknown,BBC's reality TV will focus on AIIMS
43,20010102,unknown,Jaitley firm on legal reforms
44,20010102,unknown,Hoshangabad farmers have enough water
45,20010102,unknown,BJP jumps into rail track conversion issue
46,20010102,unknown,America's unwanted heading for India?
47,20010102,unknown,State may take AP to court over Krishna
48,20010102,unknown,This official has sued the briber
49,20010102,unknown,Park turns temple compound as residents watch
50,20010102,unknown,Moves afoot to evict squatters in Urban dist
51,20010102,unknown,Mafia calls the shots in Gandhinagar too
52,20010102,unknown,Come to Nandi Hills...and you can fly
53,20010102,unknown,HAL approached for super jumbo project
54,20010102,unknown,Nagathihalli returns with Preethiya Hudugi
55,20010102,unknown,Fashion in the future
56,20010102,unknown,Promises to keep
57,20010102,unknown,Home is where the holistic science is
58,20010102,unknown,A noisy effort to spruce up Commercial Street
59,20010102,unknown,The best music of the year
60,20010102,unknown,Redemption night; amid some rock
61,20010102,unknown,Consul is back from month-long leave
62,20010102,unknown,Bomb hoax triggers panic in Canara Bank
63,20010102,unknown,Petition over ministers' assets dismissed
64,20010102,unknown,He beat polio; but a truck driver's is no life
65,20010102,unknown,Destroying myths and doubts on sexuality
66,20010102,unknown,Planning Dept seeks Rs 350 crore more
67,20010102,unknown,More engg colleges if needed in state: Govt
68,20010102,unknown,Auto driver's murder: 4 held
69,20010102,unknown,Meet held on cashew crop forecasting
70,20010102,unknown,Awareness rally on AIDS today
71,20010102,unknown,Record power generation at RTPS
72,20010102,unknown,Move to stop freedom fighters' pension flayed
73,20010102,unknown,Snags delay digital maps of city
74,20010102,unknown,Making education a people's movement
75,20010102,unknown,Murder spoils 2001 party in Dharwad
76,20010102,unknown,Now a website on a seer
77,20010102,unknown,Akki-Alur and Ranebennur peaceful
78,20010102,unknown,Weekly editor resorts to hunger strike
79,20010102,unknown,Bickering cost Dal(S) seats; admits Gowda
80,20010102,unknown,BJP to block traffic statewide on Jan 6
81,20010102,unknown,Dr Patwardhan to be felicitated
82,20010102,unknown,Lingambudhi will be turned into bird sanctuary
83,20010102,unknown,Cactus which made it to Guinness is dying
84,20010102,unknown,VIPs suffer as power supply is stopped to govt guest houses
85,20010102,entertainment.hindi.bollywood,Raju Chacha
86,20010103,unknown,Powerless north India gropes in the dark
87,20010103,unknown,Think again; Laxman tells Sangh Parivar
88,20010103,unknown,Hurriyat undecided over team to Pakistan
89,20010103,unknown,Vajpayee wants to put reforms on fast track
90,20010103,unknown,Stephen Hawking keeps date with Mumbai
91,20010103,unknown,Anti-Hrithik or anti-hopelessness
92,20010103,unknown,Govt plans stadium near Panaji
93,20010103,unknown,BJP doing a volte face on casinos: Cong
94,20010103,unknown,3 watershed projects on the anvil
95,20010103,unknown,No report yet on fire in Udyog Bhavan
96,20010103,unknown,He is the king of 'five star' industry
97,20010103,unknown,Petrol pump sealed for selling adulterated fuel
98,20010103,unknown,Milk price up by Rs 1 per litre
99,20010103,unknown,Congress House is no-smoking zone
100,20010103,unknown,Rural weightage: Govt reassures Governor
101,20010103,unknown,Bride gets honeymoon surprise: Chopper ride
102,20010103,unknown,Is hangover a sign of alcoholicism?
103,20010103,unknown,Almatti: AP to wait and watch
104,20010103,unknown,10-year-old girl missing
105,20010103,unknown,Hear his messages from the heart
106,20010103,unknown,Dance like no one's watching
107,20010103,unknown,From reel love to real love
108,20010103,unknown,Power row: Bribe attempt charge denied
109,20010103,unknown,Lakshamma's cry for help heard
