id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
1254058,1,0,1,RG Sharma,CA Lynn,Mohammed Siraj,2,0,2,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,0,2,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,0,3,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,0,4,RG Sharma,CA Lynn,Mohammed Siraj,2,0,2,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,0,5,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,0,6,RG Sharma,CA Lynn,Mohammed Siraj,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,1,1,RG Sharma,CA Lynn,KA Jamieson,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,1,2,CA Lynn,RG Sharma,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,1,3,CA Lynn,RG Sharma,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,1,4,CA Lynn,RG Sharma,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,1,5,CA Lynn,RG Sharma,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,1,6,CA Lynn,RG Sharma,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,2,1,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,2,2,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,2,3,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,2,4,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,2,5,RG Sharma,CA Lynn,Mohammed Siraj,4,0,4,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,2,6,RG Sharma,CA Lynn,Mohammed Siraj,2,0,2,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,3,1,CA Lynn,RG Sharma,YS Chahal,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,3,2,CA Lynn,RG Sharma,YS Chahal,4,0,4,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,3,3,CA Lynn,RG Sharma,YS Chahal,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,3,4,RG Sharma,CA Lynn,YS Chahal,6,0,6,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,3,5,RG Sharma,CA Lynn,YS Chahal,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,3,6,CA Lynn,RG Sharma,YS Chahal,0,0,0,0,1,run out,RG Sharma,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,4,1,SA Yadav,CA Lynn,KA Jamieson,4,0,100,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,4,2,SA Yadav,CA Lynn,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,4,3,SA Yadav,CA Lynn,KA Jamieson,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,4,4,CA Lynn,SA Yadav,KA Jamieson,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,4,5,SA Yadav,CA Lynn,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,4,6,SA Yadav,CA Lynn,KA Jamieson,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,5,1,CA Lynn,SA Yadav,YS Chahal,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,5,2,CA Lynn,SA Yadav,YS Chahal,6,0,6,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,5,3,CA Lynn,SA Yadav,YS Chahal,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,5,4,CA Lynn,SA Yadav,YS Chahal,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,5,5,SA Yadav,CA Lynn,YS Chahal,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,5,6,SA Yadav,CA Lynn,YS Chahal,4,0,4,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,6,1,CA Lynn,SA Yadav,Shahbaz Ahmed,1,0,1,0,0,NA,NA,NA,NA,MI,Royal Challengers Bangalore
1254058,1,6,2,SA Yadav,CA Lynn,Shahbaz Ahmed,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,6,3,CA Lynn,SA Yadav,Shahbaz Ahmed,4,0,4,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,6,4,CA Lynn,SA Yadav,Shahbaz Ahmed,6,0,6,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,6,5,CA Lynn,SA Yadav,Shahbaz Ahmed,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,6,6,SA Yadav,CA Lynn,Shahbaz Ahmed,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,7,1,SA Yadav,CA Lynn,HV Patel,1,1,2,0,0,NA,NA,NA,noballs,Mumbai Indians,RCB
1254058,1,7,2,CA Lynn,SA Yadav,HV Patel,6,0,6,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,7,3,CA Lynn,SA Yadav,HV Patel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,7,4,SA Yadav,CA Lynn,HV Patel,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1254058,1,7,5,SA Yadav,CA Lynn,HV Patel,4,0,4,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
